🦆,Song,Artist,Score,Year,F. Genre(s),B. Genre(s),All descriptors,Comments,BM,Language,Alt. Song Name(s),Alt. Artist Name(s),Notes,Attributes,Owned,Mixtape(s),Added,Conc,ID,Count,A+C,D#,Y#,CI,BC,TC
✓,Drops of Jupiter,Train,3.3,2001,Piano Rock,Piano Rock; Pop Rock,,,,English,,,,,,,12/31/2020,Train - Drops of Jupiter,,08328,2020-12-31 08328,,,2,#f9cb9c,#000000
✓,Drive By,Train,3.3,2012,Pop Rock,Pop Rock,,,,English,,,,,,,12/31/2020,Train - Drive By,,08329,2020-12-31 08329,,,,#cfe2f3,#000000
✓,Nightcrawler,Travis Scott,3.3,2015,Trap; Pop Rap; Southern Hip Hop,Trap; P0p Rap; Southern Hip Hop; Scenes & Movements,,,,English,,,,,,,12/31/2020,Travis Scott - Nightcrawler,,08330,2020-12-31 08330,,,,#434343,#f9cb9c
✓,3500,Travis Scott,3.3,2015,Trap; Southern Hip Hop,Trap; Southern Hip Hop; Scenes & Movements,,,,English,,,,,,,3/1/2021,Travis Scott - 3500,3500,08331,2021-03-01 08331,,,,#434343,#f9cb9c
✓,Goosebumps,Travis Scott,3.3,2016,Trap; Southern Hip Hop,Trap; Southern Hip Hop; Scenes & Movements,,,,English,,,Seen live,,,,12/31/2020,Travis Scott - Goosebumps,,08332,2020-12-31 08332,,,,#000000,#d9d9d9
✓,Can I Kick It?,Tribe Called Quest,3.3,1990,East Coast Hip Hop; Boom Bap,East Coast Hip Hop; Boom Bap; Scenes & Movements,,,,English,,,,,$-CD Rip - V/A The Beat Is Mine,,12/31/2020,Tribe Called Quest - Can I Kick It?,,08333,2020-12-31 08333,,,3,#000000,#ffe599
✓,Scenario,Tribe Called Quest,3.3,1991,J–zz Rap; Boom Bap; East Coast Hip Hop,J–zz Rap; Boom Bap; East Coast Hip Hop; Scenes & Movements,,,,English,,,,,,,12/31/2020,Tribe Called Quest - Scenario,,08334,2020-12-31 08334,,,4,#000000,#a8fa83
✓,Excursions,Tribe Called Quest,3.4,1991,J–zz Rap; Boom Bap; East Coast Hip Hop,J–zz Rap; Boom Bap; East Coast Hip Hop; Scenes & Movements,,,,English,,,,,,,2/1/2021,Tribe Called Quest - Excursions,786,08335,2021-02-01 08335,,,2,#000000,#a8fa83
✓,Check the Rhime,Tribe Called Quest,3.3,1991,J–zz Rap; East Coast Hip Hop; Conscious Hip Hop,J–zz Rap; East Coast Hip Hop; Conscious Hip Hop; Scenes & Movements,,,,English,,,,,,,2/1/2021,Tribe Called Quest - Check the Rhime,,08336,2021-02-01 08336,,,5,#000000,#a8fa83
✓,Jazz (We've Got),Tribe Called Quest,3.3,1991,J–zz Rap; East Coast Hip Hop,J–zz Rap; East Coast Hip Hop; Scenes & Movements,,,,English,,,,,,,2/1/2021,Tribe Called Quest - Jazz (We've Got),,08337,2021-02-01 08337,,,6,#000000,#a8fa83
✓,Buggin' Out,Tribe Called Quest,3.3,1991,J–zz Rap; Boom Bap; East Coast Hip Hop,J–zz Rap; Boom Bap; East Coast Hip Hop; Scenes & Movements,,,,English,,,,,,,2/1/2021,Tribe Called Quest - Buggin' Out,,08338,2021-02-01 08338,,,7,#000000,#a8fa83
✓,Award Tour,Tribe Called Quest,3.5,1993,J–zz Rap; East Coast Hip Hop,J–zz Rap; East Coast Hip Hop; Scenes & Movements,,,,English,,,,,,,12/31/2020,Tribe Called Quest - Award Tour,,08339,2020-12-31 08339,,,8,#434343,#f1c232
✓,Dis Generation,Tribe Called Quest,3.3,2016,J–zz Rap; Conscious Hip Hop; East Coast Hip Hop,J–zz Rap; Conscious Hip Hop; East Coast Hip Hop; Scenes & Movements,,,,English,,,,,,,12/31/2020,Tribe Called Quest - Dis Generation,,08340,2020-12-31 08340,,,,#000000,#d9ead3
✓,Art Sick,tricot,3.3,2013,Math Rock,Math Rock,,,,Japanese,,,,,,,1/1/2021,tricot - Art Sick,,08341,2021-01-01 08341,,,,#ffffff,#000000
✓,Ochansensu-Su,tricot,3.3,2013,Math Rock,Math Rock,,,,Japanese,おちゃんせんすぅす,,,,,,1/1/2021,tricot - Ochansensu-Su,,08342,2021-01-01 08342,,,,#ffffff,#000000
✓,Potage,tricot,3.3,2018,Math Rock,Math Rock,,,,Japanese,,,,,,,1/1/2021,tricot - Potage,,08343,2021-01-01 08343,,,,#fff2cc,#ff8b92
✓,Dark Knight Dummo,Trippie Redd,3.3,2017,Trap,Trap; Hip Hop,,,,English,,,,,,,5/16/2022,Trippie Redd - Dark Knight Dummo,,08344,2022-05-16 08344,,,,#000000,#ff0000
✓,Miss the Rage,Trippie Redd; Playboi Carti,3.3,2021,Trap,Trap; Hip Hop,,,,English,,,,[collab],,,5/16/2022,Trippie Redd; Playboi Carti - Miss the Rage,,08345,2022-05-16 08345,,,,#000000,#ffffff
✓,Heaven,Tropical Fuck Storm,3.3,2020,Art Rock; Neo-Psychedelia,Art Rock; Neo-Psychedelia,,,,English,,,,,,,12/31/2020,Tropical Fuck Storm - Heaven,,08346,2020-12-31 08346,,,,#274e13,#f9cb9c
✓,Bloom,Troye Sivan,3.3,2018,Synthpop; Dance-Pop; Alt-Pop,Synthpop; Dance-Pop; Alt-Pop; Electronic,,,,English,,,,,,,12/31/2020,Troye Sivan - Bloom,,08347,2020-12-31 08347,,,,#434343,#efefef
✓,Dance to This,Troye Sivan,3.3,2018,Dance-Pop; Electropop; Alt-Pop,Dance-Pop; Electropop; Alt-Pop; Electronic,INC; soft; sensual; ethereal; relaxation; catchy; love; night,,,English,,,,,,,12/31/2020,Troye Sivan - Dance to This,,08348,2020-12-31 08348,,,,#434343,#efefef
✓,Plum,Troye Sivan,3.3,2018,Dance-Pop; Electropop; Alt-Pop,Dance-Pop; Electropop; Alt-Pop; Electronic,,,,English,,,,,,,12/31/2020,Troye Sivan - Plum,,08349,2020-12-31 08349,,,,#434343,#efefef
✓,Perfect World,TWICE,3.3,2021,K-Pop; Dance-Pop,K-Pop; Dance-Pop,,,,Korean; English,,,,,,,7/1/2021,TWICE - Perfect World,,08350,2021-07-01 08350,,,,#990000,#ffd966
✓,The Feels,TWICE,3.3,2021,Dance-Pop; K-Pop,Dance-Pop; K-Pop,,,,English,,,,,,,11/1/2021,TWICE - The Feels,,08351,2021-11-01 08351,,,,#ffd7ec,#d12b69
✓,Something Good Can Work,Two Door Cinema Club,3.3,2010,Indie Pop,Indie Pop,,,,English,,,,,,,12/31/2020,Two Door Cinema Club - Something Good Can Work,,08352,2020-12-31 08352,,,,#351c75,#d9d2e9
✓,What You Know,Two Door Cinema Club,3.3,2010,Indie Pop; Pop Rock; Indie Rock,Indie Pop; Pop Rock; Indie Rock; Alternative Rock,,,,English,,,,,,,12/31/2020,Two Door Cinema Club - What You Know,,08353,2020-12-31 08353,,,,#351c75,#d9d2e9
✓,Undercover Martyn,Two Door Cinema Club,3.3,2010,Indie Pop; Indie Rock,Indie Pop; Indie Rock; Alternative Rock,,,,English,,,,,,,12/31/2020,Two Door Cinema Club - Undercover Martyn,,08354,2020-12-31 08354,,,,#351c75,#d9d2e9
✓,No Red Stopping,Two Lone Swordsmen,3.3,1998,IDM,IDM; Electronic,,,,Instrumental,,,,,,,1/1/2021,Two Lone Swordsmen - No Red Stopping,,08355,2021-01-01 08355,,,1,#6d662f,#b6d7a8
✓,The Big Clapper,Two Lone Swordsmen,3.3,1998,IDM,IDM; Electronic,,,,Instrumental,,,,,,,1/1/2021,Two Lone Swordsmen - The Big Clapper,,08356,2021-01-01 08356,,,2,#6d662f,#b6d7a8
✓,I Think,"Tyler, the Creator",3.3,2019,Hip House; Pop Rap,Hip House; P0p Rap; EDM; Dance; Electronic; Hip Hop,,,,English,,,Seen live,,,,12/31/2020,"Tyler, the Creator - I Think",,08357,2020-12-31 08357,,,,#f8b5c7,#434343
✓,New Magic Wand,"Tyler, the Creator",3.3,2019,Exp–rimental Hip Hop; Hardcore Hip Hop; West Coast Hip Hop,Exp–rimental Hip Hop; Hardcore Hip Hop; West Coast Hip Hop; Scenes & Movements,,,,English,,,Seen live,,,,12/31/2020,"Tyler, the Creator - New Magic Wand",,08358,2020-12-31 08358,,,,#f8b5c7,#434343
✓,What's Good,"Tyler, the Creator",3.3,2019,Exp–rimental Hip Hop; Hardcore Hip Hop; West Coast Hip Hop,Exp–rimental Hip Hop; Hardcore Hip Hop; West Coast Hip Hop; Scenes & Movements,,,,English,,,,,,,12/31/2020,"Tyler, the Creator - What's Good",,08359,2020-12-31 08359,,,,#f8b5c7,#434343
✓,Corso,"Tyler, the Creator",3.3,2021,Hardcore Hip Hop; West Coast Hip Hop,Hardcore Hip Hop; West Coast Hip Hop; Scenes & Movements,,,,English,,,,,,,10/1/2021,"Tyler, the Creator - Corso",,08360,2021-10-01 08360,,,,#ffe599,#45818e
✓,Wusyaname,"Tyler, the Creator",3.3,2021,West Coast Hip Hop; Neo-Soul,West Coast Hip Hop; Neo-Soul; Scenes & Movements; R&B,,,,English,,,Seen live,,,,10/1/2021,"Tyler, the Creator - Wusyaname",,08361,2021-10-01 08361,,,,#ffe599,#45818e
✓,Potato Salad,"Tyler, the Creator; A$AP Rocky",3.3,2018,Hip Hop,Hip Hop,,,,English,,,,[collab],,,7/23/2022,"Tyler, the Creator; A$AP Rocky - Potato Salad",,08362,2022-07-23 08362,,,,#bf9000,#fce5cd
✓,A Woman Needs to Be Loved,Tyrone Davis,3.3,1968,Chicago Soul,Chicago Soul; R&B,,,,English,,,,,,,12/31/2020,Tyrone Davis - A Woman Needs to Be Loved,,08363,2020-12-31 08363,,,,#b45f06,#ffffff
✓,Turn Back the Hands of Time,Tyrone Davis,3.3,1970,Chicago Soul,Chicago Soul; R&B,INC; bittersweet; lush; diamond,,,English,,,,,,,8/5/2022,Tyrone Davis - Turn Back the Hands of Time,,08364,2022-08-05 08364,,,,#bed52f,#000000
✓,I Will Follow,U2,3.3,1980,Post-Punk,Post-Punk,,,,English,,,,,,,12/31/2020,U2 - I Will Follow,,08365,2020-12-31 08365,,,,#ffffff,#000000
✓,Pride (In the Name of Love),U2,3.3,1984,Pop Rock; Alternative Rock,Pop Rock; Alternative Rock,,,,English,,,,,,,12/31/2020,U2 - Pride (In the Name of Love),,08366,2020-12-31 08366,,,,#cc0000,#ffd966
✓,Where the Streets Have No Name,U2,3.3,1987,Alternative Rock; Pop Rock,Alternative Rock; Pop Rock,INC; epic; adventure; resolute,"The Edge's powers on full display here, Bono taking a backseat this time",,English,,,,,,,3/25/2023,U2 - Where the Streets Have No Name,,08367,2023-03-25 08367,,,,#000000,#d9d9d9
✓,8films,Uchu Conbini,3.3,2013,Midwest Emo,Midwest Emo; Indie Rock; Alternative Rock; Punk,,,,Japanese,,宇宙コンビニ,,,,,12/31/2020,Uchu Conbini - 8films,,08368,2020-12-31 08368,,,,#fff2cc,#674ea7
✓,Tobira,Uchu Conbini,3.3,2013,Midwest Emo,Midwest Emo; Indie Rock; Alternative Rock; Punk,,,,Japanese,,宇宙コンビニ,,,,,12/31/2020,Uchu Conbini - Tobira,,08369,2020-12-31 08369,,,,#fff2cc,#674ea7
✓,セピア色の車窓から,Uchu Conbini,3.3,2013,Midwest Emo,Midwest Emo; Indie Rock; Alternative Rock; Punk,,,,Japanese,,宇宙コンビニ,,[yt*],,,12/31/2020,Uchu Conbini - セピア色の車窓から,,08370,2020-12-31 08370,,,,#fff2cc,#674ea7
✓,Forest,Uchu Conbini,3.3,2013,Midwest Emo,Midwest Emo; Indie Rock; Alternative Rock; Punk,,,,Japanese,,宇宙コンビニ,,[yt*],,,12/31/2020,Uchu Conbini - Forest,,08371,2020-12-31 08371,,,,#fff2cc,#674ea7
✓,It's Supposed to Bubble,UGK,3.3,1994,Gangsta Rap; Southern Hip Hop,Gangsta Rap; Southern Hip Hop; Hardcore Hip Hop; Scenes & Movements,,,,English,,,,,,,12/31/2020,UGK - It's Supposed to Bubble,,08372,2020-12-31 08372,,,1,#a61c00,#ffff00
✓,Tell Me Something Good [DJ Screw Mix],UGK,3.3,1995,Gangsta Rap; Southern Hip Hop,Gangsta Rap; Southern Hip Hop; Hardcore Hip Hop; Scenes & Movements,,,,English,,,Version: Bigtyme Vol. II,[DJ Mix],,VA: DJ Screw - Bigtyme Vol II,6/23/2022,UGK - Tell Me Something Good [DJ Screw Mix],,08373,2022-06-23 08373,,,2,#1155cc,#bed52f
✓,One Day,UGK,3.3,1996,Gangsta Rap; Dirty South; Southern Hip Hop,Gangsta Rap; Dirty South; Southern Hip Hop; Hardcore Hip Hop; Scenes & Movements,,,,English,,,,,,,12/31/2020,UGK - One Day,,08374,2020-12-31 08374,,,3,#000000,#ffd966
✓,We're on the Right Track,Ultra High Frequency,3.3,1973,Disco; Philly Soul,Disco; Philly Soul; Dance; R&B,INC; love; optimistic; happy; uplifting,,,English,,,,,,,6/15/2022,Ultra High Frequency - We're on the Right Track,,08375,2022-06-15 08375,,,,#fd0324,#fff2cc
✓,Vienna,Ultravox,3.3,1980,Synthpop; New Romantic,Synthpop; New Romantic; Electronic; Pop; New Wave; Scenes & Movements; Rock,,,,English,,,,,,,12/31/2020,Ultravox - Vienna,,08376,2020-12-31 08376,,,,#6fa8dc,#ffffff
✓,Hymne VIII - Wolf and the Night,Ulver,3.3,1997,Black Metal,Black Metal; Rock,,,,Danish,,,,,,,12/31/2020,Ulver - Hymne VIII - Wolf and the Night,,08377,2020-12-31 08377,,,1,#20124d,#ffff00
✓,Rowla,Underworld,3.3,1996,Acid Trance,Acid Trance; EDM; Dance; Electronic,,,,Instrumental,,,,,,,6/1/2021,Underworld - Rowla,,08378,2021-06-01 08378,,,5,#cfe2f3,#073763
✓,Pearl's Girl,Underworld,3.3,1996,Breakbeat Hardcore,Breakbeat Hardcore; Hardcore [EDM]; Dance; Electronic,,,,English,,,,,,,6/1/2021,Underworld - Pearl's Girl,,08379,2021-06-01 08379,,,6,#cfe2f3,#073763
✓,The Garden of Earthly Delights,United States of America,3.3,1968,Psychedelic Rock; Art Rock,Psychedelic Rock; Art Rock,,,,English,,,,,,,12/31/2020,United States of America - The Garden of Earthly Delights,,08380,2020-12-31 08380,,,,#000000,#f9cb9c
✓,Nursery Rhyme / Breather,UNKLE,3.3,1998,Hard Rock; Alternative Rock,Hard Rock; Alternative Rock,,,,English,,,,,,,12/31/2020,UNKLE - Nursery Rhyme / Breather,,08381,2020-12-31 08381,,,3,#d9c3ac,#000000
✓,Look a Ghost,Unwound,3.3,2001,Indie Rock; Post-Hardcore,Indie Rock; Post-Hardcore; Alternative Rock; Punk; Hardcore [Punk],,,,English,,,,,,,12/31/2020,Unwound - Look a Ghost,,08382,2020-12-31 08382,,,3,#434343,#d9d9d9
✓,You Make Me Wanna...,Usher,3.3,1997,Contemporary R&B,Contemporary R&B,,,,English,,,Seen live,,$-CD Rip - V/A The Beat Is Mine,,12/31/2020,Usher - You Make Me Wanna...,,08383,2020-12-31 08383,,,1,#20124d,#d9d9d9
✓,U Remind Me,Usher,3.3,2001,Contemporary R&B,Contemporary R&B,,,,English,,,Seen live,,,,12/31/2020,Usher - U Remind Me,8701,08384,2020-12-31 08384,,,1,#990000,#f9cb9c
✓,Yeah!,Usher,3.3,2004,Contemporary R&B; Dance-Pop; Southern Hip Hop,Contemporary R&B; Dance-Pop; Southern Hip Hop; Scenes & Movements,,,,English,,,Seen live,,,,12/31/2020,Usher - Yeah!,,08385,2020-12-31 08385,,,2,#000000,#f6b26b
✓,OMG,Usher,3.3,2010,Electropop; Dance-Pop,Electropop; Dance-Pop; Electronic,,,,English,,,Seen live,,,,12/31/2020,Usher - OMG,,08386,2020-12-31 08386,,,,#674ea7,#ffffff
✓,Don't Waste My Time,Usher,3.3,2019,Contemporary R&B,Contemporary R&B,,,,English,,,Seen live,,,,12/31/2020,Usher - Don't Waste My Time,,08387,2020-12-31 08387,,,,#000000,#fea0cd
✓,Waltz for Life Will Born,Uyama Hiroto,3.3,2007,Nu J–zz; Instrumental Hip Hop,Nu J–zz; Instrumental Hip Hop; Electronic,,,,Instrumental,,,,,,,12/31/2020,Uyama Hiroto - Waltz for Life Will Born,,08388,2020-12-31 08388,,,1,#fea0cd,#000000
✓,One Dream,Uyama Hiroto,3.3,2008,Nu J–zz; Instrumental Hip Hop; J–zz Rap,Nu J–zz; Instrumental Hip Hop; J–zz Rap; Electronic,,,,English,,,,,,,12/31/2020,Uyama Hiroto - One Dream,,08389,2020-12-31 08389,,,2,#fea0cd,#000000
✓,Homeward Journey,Uyama Hiroto,3.3,2010,Nu J–zz; Instrumental Hip Hop,Nu J–zz; Instrumental Hip Hop; Electronic,,,,Instrumental,,,,[yt*],,,12/31/2020,Uyama Hiroto - Homeward Journey,,08390,2020-12-31 08390,,,,#ff4500,#ffe599
✓,Homeward Journey (Nujabes Edit),Uyama Hiroto,3.3,2010,Nu J–zz; Instrumental Hip Hop,Nu J–zz; Instrumental Hip Hop; Electronic,,,,Instrumental,,,,[yt*],,,12/31/2020,Uyama Hiroto - Homeward Journey (Nujabes Edit),,08391,2020-12-31 08391,,,,#ff4500,#ffe599
✓,End of the Road,Uyama Hiroto,3.3,2015,Instrumental Hip Hop,Instrumental Hip Hop,,,,Instrumental,,,,,,,12/31/2020,Uyama Hiroto - End of the Road,,08392,2020-12-31 08392,,,,#351c75,#d9d2e9
✓,Shark in the Water,V V Brown,3.3,2009,Indie Pop,Indie Pop,,,,English,,,,,,,12/31/2020,V V Brown - Shark in the Water,,08393,2020-12-31 08393,,,1,#000000,#efd431
✓,Come N2 My World,V.O.S. Family,3.3,1997,Memphis Rap; Southern Hip Hop,Memphis Rap; Southern Hip Hop; Hardcore Hip Hop; Scenes & Movements,INC; energetic; passionate; uplifting; happy,,,English,,,,[✓dl*],$-archive,,11/12/2022,V.O.S. Family - Come N2 My World,,08394,2022-11-12 08394,,,3,#666666,#efefef
✓,Scopin,V.O.S. Family,3.3,1997,Memphis Rap; Southern Hip Hop,Memphis Rap; Southern Hip Hop; Hardcore Hip Hop; Scenes & Movements,INC; uplifting; happy; sunny day; celebration; ethereal; resolute,,,English,,,"For some reason, this specific song is missing from my files",[✓dl*],,,11/12/2022,V.O.S. Family - Scopin,,08395,2022-11-12 08395,,,4,#666666,#efefef
✓,Just n Case,V.O.S. Family,3.3,1997,Memphis Rap; Southern Hip Hop,Memphis Rap; Southern Hip Hop; Hardcore Hip Hop; Scenes & Movements,INC; night; energetic; aggressive; passionate,,,English,,,,[✓dl*],$-archive,,11/12/2022,V.O.S. Family - Just n Case,,08396,2022-11-12 08396,,,5,#666666,#efefef
✓,Prepare for the Worst,V.O.S. Family,3.3,1997,Memphis Rap; Southern Hip Hop,Memphis Rap; Southern Hip Hop; Hardcore Hip Hop; Scenes & Movements,INC; light black; night; energetic; fight song; passionate; mysterious,,,English,,,,[✓dl*],$-archive,,11/12/2022,V.O.S. Family - Prepare for the Worst,,08397,2022-11-12 08397,,,6,#666666,#efefef
✓,Devil Spirits,V.O.S. Family,3.3,1997,Memphis Rap; Southern Hip Hop,Memphis Rap; Southern Hip Hop; Hardcore Hip Hop; Scenes & Movements,INC; uplifting; sunny day; energetic,,,English,,,,[✓dl*],$-archive,,11/12/2022,V.O.S. Family - Devil Spirits,,08398,2022-11-12 08398,,,7,#666666,#efefef
✓,V.O.S. Grippin,V.O.S. Family,3.3,1997,Memphis Rap; Southern Hip Hop,Memphis Rap; Southern Hip Hop; Hardcore Hip Hop; Scenes & Movements,INC; fun; party; sunny day; celebration; lush,,,English,,,,[✓dl*],$-archive,,11/12/2022,V.O.S. Family - V.O.S. Grippin,,08399,2022-11-12 08399,,,8,#666666,#efefef
✓,Just Another Day,V.O.S. Family,3.3,1997,Memphis Rap; Southern Hip Hop,Memphis Rap; Southern Hip Hop; Hardcore Hip Hop; Scenes & Movements,INC; bittersweet; uplifting; sunny day,,,English,,,PROBLEM: File doesn't actually play beyond 11 seconds,[✓dl*],$-archive,,11/12/2022,V.O.S. Family - Just Another Day,,08400,2022-11-12 08400,,,9,#666666,#efefef
✓,Diane Young,Vampire Weekend,3.3,2013,Indie Pop; Indie Rock,Indie Pop; Indie Rock; Alternative Rock,,,,English,,,Seen live,,,,12/31/2020,Vampire Weekend - Diane Young,,08401,2020-12-31 08401,,,,#666666,#ffffff
✓,Don't Lie,Vampire Weekend,3.3,2013,Chamber Pop; Art Pop,Chamber Pop; Art Pop; Indie Pop,,,,English,,,,,,,12/31/2020,Vampire Weekend - Don't Lie,,08402,2020-12-31 08402,,,,#666666,#ffffff
✓,Finger Back,Vampire Weekend,3.3,2013,Indie Pop; Indie Rock,Indie Pop; Indie Rock; Alternative Rock,,,,English,,,,,,,12/31/2020,Vampire Weekend - Finger Back,,08403,2020-12-31 08403,,,,#666666,#ffffff
✓,Worship You,Vampire Weekend,3.3,2013,Indie Pop; Indie Rock,Indie Pop; Indie Rock; Alternative Rock,,,,English,,,,,,,12/31/2020,Vampire Weekend - Worship You,,08404,2020-12-31 08404,,,,#666666,#ffffff
✓,Ya Hey,Vampire Weekend,3.8,2013,Indie Pop; Art Pop,Indie Pop; Art Pop,,,,English,,,,,,,12/31/2020,Vampire Weekend - Ya Hey,,08405,2020-12-31 08405,,,,#666666,#ffffff
✓,Ain't Talkin' 'Bout Love,Van Halen,3.3,1978,Hard Rock,Hard Rock,,,,English,,,,,,,12/31/2020,Van Halen - Ain't Talkin' 'Bout Love,,08406,2020-12-31 08406,,,,#000000,#55a7e1
✓,Jump,Van Halen,3.3,1984,Pop Rock; Hard Rock,Pop Rock; Hard Rock,,,,English,,,,,,,12/31/2020,Van Halen - Jump,,08407,2020-12-31 08407,,,,#cfe2f3,#990000
✓,Slim Slow Slider,Van Morrison,3.3,1968,Chamber Folk; Singer-Songwriter,Chamber Folk; Singer-Songwriter; Contemporary Folk,,,,English,,,,,$-CD Rip,,12/31/2020,Van Morrison - Slim Slow Slider,,08408,2020-12-31 08408,,,,#274e13,#d9d2e9
✓,These Dreams of You,Van Morrison,3.3,1970,Rhythm & Bl–es; Singer-Songwriter,Rhythm & Bl–es; Singer-Songwriter; R&B,,,,English,,,,,$-CD Rip,,12/31/2020,Van Morrison - These Dreams of You,,08409,2020-12-31 08409,,,,#f1c232,#000000
✓,Everyone,Van Morrison,3.3,1970,Folk Rock; Chamber Folk; Singer-Songwriter,F0lk Rock; Chamber Folk; Singer-Songwriter; Contemporary Folk,,,,English,,,,,$-CD Rip,,12/31/2020,Van Morrison - Everyone,,08410,2020-12-31 08410,,,,#f1c232,#000000
✓,Redwood Tree,Van Morrison,3.3,1972,Folk Rock; Singer-Songwriter,F0lk Rock; Singer-Songwriter,,,,English,,,,,,,12/31/2020,Van Morrison - Redwood Tree,,08411,2020-12-31 08411,,,,#79dfff,#000000
✓,Bulbs,Van Morrison,3.3,1974,Folk Rock; Pop Rock; Singer-Songwriter,F0lk Rock; Pop Rock; Singer-Songwriter,,,,English,,,,,,,12/31/2020,Van Morrison - Bulbs,,08412,2020-12-31 08412,,,,#bed52f,#000000
✓,Comfort You,Van Morrison,3.3,1974,Contemporary Folk; Singer-Songwriter,Contemporary Folk; Singer-Songwriter,,,,English,,,,,,,12/31/2020,Van Morrison - Comfort You,,08413,2020-12-31 08413,,,,#bed52f,#000000
✓,Riptide,Vance Joy,3.3,2013,Stomp and Holler; Folk Pop,Stomp and Holler; Folk Pop; Indie Folk; Contemporary Folk,,,,English,,,,,,,12/31/2020,Vance Joy - Riptide,,08414,2020-12-31 08414,,,,#000000,#fff2cc
✓,Sneakernight,Vanessa Hudgens,3.3,2008,Dance-Pop; Teen Pop,Dance-Pop; Teen Pop,,,,English,,,,,,,12/31/2020,Vanessa Hudgens - Sneakernight,,08415,2020-12-31 08415,,,1,#d0e0e3,#26887d
✓,Chariots of Fire,Vangelis,3.3,1981,Progressive Electronic; Film Score,Progressive Electronic; Film Score; Film Soundtrack; Descriptor Genres,INC; uplifting; sports; soft; ethereal; triumphant; resolute; sunny day,,,Instrumental,,,,[soundtrack],,,6/16/2022,Vangelis - Chariots of Fire,,08416,2022-06-16 08416,,,,#0b5394,#ffffff
✓,Turning Japanese,Vapors,3.3,1980,New Wave; Power Pop,New Wave; Power Pop; Rock; Pop Rock,,,,English,,,,,,,12/31/2020,Vapors - Turning Japanese,,08417,2020-12-31 08417,,,,#4c1130,#ffff00
✓,What Goes On,Velvet Underground,3.3,1969,Art Rock; Pop Rock,Art Rock; Pop Rock,,,,English,,,,,$-download,,12/31/2020,Velvet Underground - What Goes On,,08418,2020-12-31 08418,,,,#434343,#d9d9d9
✓,The Murder Mystery,Velvet Underground,3.3,1969,Exp–rimental Rock; Art Rock,Exp–rimental Rock; Art Rock,,,,English,,,,,$-download,,12/31/2020,Velvet Underground - The Murder Mystery,,08419,2020-12-31 08419,,,,#434343,#d9d9d9
✓,Who Loves the Sun,Velvet Underground,3.3,1970,Sunshine Pop; Pop Rock,Sunshine Pop; Pop Rock,,,,English,,,,,,,12/31/2020,Velvet Underground - Who Loves the Sun,,08420,2020-12-31 08420,,,,#ffffff,#d12b69
✓,Sweet Jane,Velvet Underground,3.3,1970,Pop Rock,Pop Rock,,,,English,,,,,,,12/31/2020,Velvet Underground - Sweet Jane,,08421,2020-12-31 08421,,,,#ffffff,#d12b69
✓,All Tomorrow's Parties,Velvet Underground; Nico,3.3,1966,Exp–rimental Rock; Art Rock,Exp–rimental Rock; Art Rock,,,,English,,,,[collab],$-CD Rip,,12/31/2020,Velvet Underground; Nico - All Tomorrow's Parties,,08422,2020-12-31 08422,,,,#ffffff,#bf9000
✓,I'm Waiting for the Man,Velvet Underground; Nico,3.3,1967,Garage Rock; Proto-Punk,Garage Rock; Proto-Punk,,,,English,,,,[collab],$-CD Rip,,12/31/2020,Velvet Underground; Nico - I'm Waiting for the Man,26,08423,2020-12-31 08423,,,,#ffffff,#bf9000
✓,Die Winnipeg Die Die Die Fuckers Die,Venetian Snares,3.3,2005,Breakcore,Breakcore; Hardcore [EDM]; Dance; Electronic,INC; energetic; dense; noisy; humorous; icy; fight song,,,English; Instrumental,,,,,,,4/29/2022,Venetian Snares - Die Winnipeg Die Die Die Fuckers Die,,08424,2022-04-29 08424,,,3,#ffffff,#666666
✓,Gentleman,Venetian Snares,3.3,2008,Breakcore,Breakcore; Hardcore [EDM]; Dance; Electronic,,,,English,,,,,,,12/31/2020,Venetian Snares - Gentleman,,08425,2020-12-31 08425,,,4,#000000,#a8fa83
✓,Eurocore MVP,Venetian Snares,3.3,2008,Breakcore,Breakcore; Hardcore [EDM]; Dance; Electronic,,,,English,,,,,,,12/31/2020,Venetian Snares - Eurocore MVP,,08426,2020-12-31 08426,,,5,#000000,#a8fa83
